厂商id,年,月份,厂商名称,品牌id,子品牌id,子品牌名称,销量,页码,dt
241,2020,2,之诺,241,2796,之诺60H混动,2,8,20230112
432,2020,2,大运汽车,432,4012,悦虎,2,8,20230112
31,2020,2,马自达（进口）,31,1774,马自达CX-3,1,8,20230112
43,2020,2,雷诺,43,1322,雷诺卡缤,1,9,20230112
149,2020,2,福迪,149,2078,揽福,1,9,20230112
309,2020,2,瑞驰新能源,309,3922,瑞驰S513,1,9,20230112
18,2020,2,铃木（进口）,18,2558,英格尼斯,1,9,20230112
170,2020,2,力帆汽车,170,552,力帆620,1,9,20230112
16,2020,2,凯迪拉克（进口）,16,210,凯雷德,1,9,20230112
154,2020,2,路特斯,154,1158,路特斯Evora,1,9,20230112
40,2020,3,上汽大众,40,549,朗逸,21713,1,20230112
30,2020,3,一汽-大众,30,573,宝来,17975,1,20230112
94,2020,3,东风日产,94,428,轩逸,24109,1,20230112
198,2020,3,吉利汽车,198,2325,吉利博越,9290,1,20230112
175,2020,3,广汽丰田,175,1972,雷凌,14524,1,20230112
69,2020,3,一汽-大众奥迪,69,9,奥迪A4L,10420,1,20230112
127,2020,3,上汽通用五菱,127,841,五菱宏光,16880,1,20230112
76,2020,3,一汽丰田,76,492,卡罗拉,19396,1,20230112
58,2020,3,上汽通用别克,58,814,英朗,11421,1,20230112
55,2020,3,长安,55,3392,长安CS75 PLUS,9614,1,20230112
120,2020,3,华晨宝马,120,119,宝马3系,8757,1,20230112
230,2020,3,长城汽车,230,776,哈弗H6,15036,1,20230112
164,2020,3,北京奔驰,164,539,奔驰C级,9574,1,20230112
75,2020,3,广汽本田,75,86,雅阁,11098,1,20230112
101,2020,3,北京现代,101,2343,领动,6324,1,20230112
406,2020,3,上汽通用五菱,406,2641,宝骏510,5882,1,20230112
135,2020,3,东风本田,135,145,CR-V,6386,1,20230112
89,2020,3,比亚迪,89,3449,比亚迪宋Pro,4801,1,20230112
24,2020,3,雷克萨斯,24,425,雷克萨斯ES,8055,1,20230112
182,2020,3,上汽集团,182,3248,荣威i5,5250,1,20230112
153,2020,3,上海通用雪佛兰,153,3322,科鲁泽,6541,2,20230112
189,2020,3,长安马自达,189,1847,昂克赛拉,5596,2,20230112
144,2020,3,长安福特,144,1695,福睿斯,3470,2,20230112
54,2020,3,起亚,54,859,智跑,3714,2,20230112
206,2020,3,广汽乘用车,206,2136,传祺GS4,4767,2,20230112
74,2020,3,奇瑞,74,3074,瑞虎8,4010,2,20230112
388,2020,3,特斯拉中国,388,3654,Model 3,11280,2,20230112
183,2020,3,上汽大众斯柯达,183,457,明锐,2712,2,20230112
1,2020,3,宝马（进口）,1,411,宝马X5（进口）,2574,2,20230112
223,2020,3,长安汽车,223,3450,长安欧尚X7,5994,2,20230112
354,2020,3,一汽-大众捷达,354,3386,捷达VS5,5093,2,20230112
157,2020,3,上汽通用凯迪拉克,157,2487,XT5,3114,2,20230112
8,2020,3,奔驰（进口）,8,2180,奔驰GLE级,2570,2,20230112
296,2020,3,领克,296,2863,领克03,4405,2,20230112
244,2020,3,沃尔沃亚太,244,2079,沃尔沃XC60,3252,2,20230112
279,2020,3,东风小康,279,2952,风光S560,2349,2,20230112
7,2020,3,红旗,7,3442,红旗HS5,3723,2,20230112
68,2020,3,保时捷,68,372,卡宴,2237,2,20230112
61,2020,3,东风风行,61,46,菱智,3281,2,20230112
184,2020,3,上汽名爵,184,660,名爵6,2371,2,20230112
226,2020,3,广汽三菱,226,2624,欧蓝德,3527,3,20230112
177,2020,3,一汽奔腾,177,2696,奔腾X40,2171,3,20230112
327,2020,3,奇瑞汽车,327,3102,捷途X70,2189,3,20230112
231,2020,3,北京汽车,231,3489,北京X3,1098,3,20230112
22,2020,3,丰田（进口）,22,862,埃尔法,1506,3,20230112
207,2020,3,东风日产启辰,207,2888,启辰D60,2406,3,20230112
90,2020,3,江淮汽车,90,3629,嘉悦A5,2662,3,20230112
308,2020,3,长安凯程,308,1282,欧诺S,1822,3,20230112
302,2020,3,长城汽车,302,2708,魏牌VV5,1435,3,20230112
194,2020,3,东风风神,194,3429,奕炫,1812,3,20230112
